Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
3A COMPANHIA SECURITIZADORA;3A COMPANHIA SECURITIZADORA;CANCELADA;21954;SECURITIZAÇÃO DE RECEBÍVEIS
521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;ATIVO;16330;EMP. ADM. PART. - ENERGIA ELéTRICA
524 PARTICIPAÇOES SA;524 PARTICIPAÇOES SA;ATIVO;16284;EMP. ADM. PART. - SEM SETOR PRINCIPAL
525 PARTICIPAÇOES SA;525 PARTICIPAÇOES SA;CANCELADA;16349;EMP. ADM. PART. - SEM SETOR PRINCIPAL
A J RENNER SA IND E PARTIP;A J RENNER SA IND E PARTIP;CANCELADA;35;EMP. ADM. PARTICIPAÇÕES
A.P. PARTICIPAÇOES SA;A.P. PARTICIPAÇOES SA;CANCELADA;16802;EMP. ADM. PARTICIPAÇÕES
AAJR SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;AAJR SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;ATIVO;24732;SECURITIZAÇÃO DE RECEBÍVEIS
ABC DADOS E INFORMATICA SA;ABC DADOS E INFORMATICA SA;CANCELADA;13307;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ABC SUPERMERCADOS SA;ABC SUPERMERCADOS SA;CANCELADA;16934;COMÉRCIO (ATACADO E VAREJO)
ABC XTAL MICROELETRONICA SA;ABC XTAL MICROELETRONICA SA;CANCELADA;13005;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ABN AMRO ARRENDAMENTO MERCANTIL SA;ABN AMRO ARRENDAMENTO MERCANTIL SA;CANCELADA;15270;ARRENDAMENTO MERCANTIL
ABRIL SA;ABRIL SA;CANCELADA;14370;GRÁFICAS E EDITORAS
ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;CANCELADA;20206;EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAçãO
ACOPALMA CIA INDL ACOS V PALMA;ACOPALMA CIA INDL ACOS V PALMA;CANCELADA;60;METALURGIA E SIDERURGIA
ACOS ANHANGUERA SA;ACOS ANHANGUERA SA;CANCELADA;78;METALURGIA E SIDERURGIA
ACOS DO BRASIL SA IND E COM;ACOS DO BRASIL SA IND E COM;CANCELADA;86;METALURGIA E SIDERURGIA
AÇOS FINOS PIRATINI S/A;AÇOS FINOS PIRATINI S/A;CANCELADA;14508;METALURGIA E SIDERURGIA
ACOS IPANEMA (VILLARES) SA;ACOS IPANEMA (VILLARES) SA;CANCELADA;10715;METALURGIA E SIDERURGIA
AÇOS VILLARES SA;AÇOS VILLARES SA;CANCELADA;108;METALURGIA E SIDERURGIA
ACRINOR ACRILONITRILA DO NE SA;ACRINOR ACRILONITRILA DO NE SA;CANCELADA;116;PETROQUíMICOS E BORRACHA
ACRUX SECURITIZADORA S/A;ACRUX SECURITIZADORA S/A;CANCELADA;20230;SECURITIZAÇÃO DE RECEBÍVEIS
ACTORI PARTICIPAÇÕES SA;ACTORI PARTICIPAÇÕES SA;CANCELADA;18040;EMP. ADM. PARTICIPAÇÕES
AÇUCAR GUARANI S/A;AÇUCAR GUARANI S/A;CANCELADA;20940;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
ADEPAR ASSESSORIA ADM SERV SA;ADEPAR ASSESSORIA ADM SERV SA;CANCELADA;7625;EMP. ADM. PARTICIPAÇÕES
ADESENE ADESIVOS NO NORDESTE SA;ADESENE ADESIVOS NO NORDESTE SA;CANCELADA;132;PETROQUíMICOS E BORRACHA
ADUBOS VIANNA SA INDUSTRIA E COMERCIO;ADUBOS VIANNA SA INDUSTRIA E COMERCIO;CANCELADA;159;PETROQUíMICOS E BORRACHA
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;ATIVO;21725;FARMACêUTICO E HIGIENE
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;ATIVO;23396;SANEAMENTO, SERV. ÁGUA E GáS
AEROFOTO CRUZEIRO SA;AEROFOTO CRUZEIRO SA;CANCELADA;167;SERVICOS DIVERSOS
AES ELPA SA;AES ELPA SA;CANCELADA;19313;EMP. ADM. PART. - ENERGIA ELéTRICA
AES TIETÊ ENERGIA S.A;AES TIETÊ ENERGIA S.A;ATIVO;18970;EMP. ADM. PART. - ENERGIA ELéTRICA
AES TIETE SA;AES TIETE SA;CANCELADA;18350;ENERGIA ELÉTRICA
AETATIS SECURITIZADORA S.A.;AETATIS SECURITIZADORA S.A.;CANCELADA;18104;SECURITIZAÇÃO DE RECEBÍVEIS
AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;CANCELADA;20150;ENERGIA ELÉTRICA
AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;ATIVO;22179;ENERGIA ELÉTRICA
AGF BRASIL SEGUROS SA;AGF BRASIL SEGUROS SA;CANCELADA;12343;SEGURADORAS E CORRETORAS
AGGS INDS GRAFICAS SA;AGGS INDS GRAFICAS SA;CANCELADA;175;GRÁFICAS E EDITORAS
AGIP DISTRIBUIDORA SA;AGIP DISTRIBUIDORA SA;CANCELADA;3921;PETRÓLEO E GÁS
AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;CANCELADA;20664;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
AGRALE SA;AGRALE SA;CANCELADA;183;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;CANCELADA;21911;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
AGRILEASING SA ARREND MERC;AGRILEASING SA ARREND MERC;CANCELADA;191;ARRENDAMENTO MERCANTIL
AGRO PASTORIL CARIRI SA CARIRISA;AGRO PASTORIL CARIRI SA CARIRISA;CANCELADA;205;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGRONORTE SA;AGRONORTE SA;CANCELADA;221;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGROPECUARIA TAMAKAVY SA;AGROPECUARIA TAMAKAVY SA;CANCELADA;213;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGUAS GUARIROBA S.A.;AGUAS GUARIROBA S.A.;ATIVO;23442;SANEAMENTO, SERV. ÁGUA E GáS
AGV HOLDING S/A;AGV HOLDING S/A;CANCELADA;21806;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
AIR LIQUIDE;AIR LIQUIDE;CANCELADA;9288;OUTRAS ATIVIDADES INDUSTRIAIS
AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA;AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA;CANCELADA;17957;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALBAE PARTICIPACOES SA;ALBAE PARTICIPACOES SA;CANCELADA;18074;EMP. ADM. PARTICIPAÇÕES
ALBATROZ SA;ALBATROZ SA;CANCELADA;13242;EMP. ADM. PARTICIPAÇÕES
ALCALIS RIO GRANDE DO NORTE SA;ALCALIS RIO GRANDE DO NORTE SA;CANCELADA;15067;PETROQUíMICOS E BORRACHA
ALCAN ALUMINIO DO BRASIL SA;ALCAN ALUMINIO DO BRASIL SA;CANCELADA;256;METALURGIA E SIDERURGIA
ALCOA ALUMINIO SA;ALCOA ALUMINIO SA;CANCELADA;264;METALURGIA E SIDERURGIA
ALEF SA;ALEF SA;ATIVO;16705;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALFA HOLDINGS SA;ALFA HOLDINGS SA;ATIVO;9954;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
ALFA NORDESTE SA INDUSTRIA DO VESTUARIO;ALFA NORDESTE SA INDUSTRIA DO VESTUARIO;CANCELADA;272;TEXTIL E VESTUÁRIO
ALFRED SA COMERCIO DO VESTUARIO;ALFRED SA COMERCIO DO VESTUARIO;CANCELADA;280;TEXTIL E VESTUÁRIO
ALGAR TELECOM S/A;ALGAR TELECOM S/A;ATIVO;21032;TELECOMUNICAÇÕES
ALIANSCE SHOPPING CENTERS S/A;ALIANSCE SHOPPING CENTERS S/A;CANCELADA;21300;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
